City,Brand,Model,Year,Body,Color,Engine_Power,Fuel_Type,Mileage,Gearbox,Transmission,New,Price
Bakı,Mercedes,E 240,1999,Sedan,Göy,170.0,Benzin,358000,Avtomat,Arxa,Xeyr,13500
Bakı,Geely,MK,2012,Sedan,Ağ,98.0,Benzin,260000,Mexaniki,Ön,Xeyr,7200
Sumqayıt,Mercedes,C 180,1995,Sedan,Gümüşü,122.0,Benzin,355600,Avtomat,Arxa,Xeyr,7900
Bakı,Mercedes,E 240,1998,Sedan,Gümüşü,170.0,Benzin,380000,Avtomat,Tam,Xeyr,12300
Bakı,Ford,Transit,2006,Furqon,Boz,140.0,Dizel,225000,Mexaniki,Ön,Xeyr,18800
Zaqatala,Mitsubishi,Pajero,1992,Offroader / SUV,Gümüşü,99.0,Dizel,180000,Avtomat,Tam,Xeyr,7800
Bakı,Chevrolet,Cruze,2014,Sedan,Qara,141.0,Benzin,197000,Avtomat,Ön,Xeyr,14800
Sumqayıt,Land Rover,RR Sport,2007,Offroader / SUV,Qara,390.0,Benzin,200000,Avtomat,Tam,Xeyr,21800
Şamaxı,Mercedes,E 220,2010,Sedan,Gümüşü,170.0,Dizel,173000,Avtomat,Arxa,Xeyr,31200
Bakı,Hyundai,Elantra,2014,Sedan,Ağ,150.0,Benzin,72420,Avtomat,Ön,Xeyr,23300
Bakı,Mercedes,E 240,2000,Sedan,Yaşıl,178.0,Benzin,270000,Avtomat,Arxa,Xeyr,15000
Bakı,Ford,Transit,2011,Furqon,Qırmızı,140.0,Dizel,232200,Mexaniki,Arxa,Xeyr,23500
Gəncə,LADA (VAZ),21099,2003,Sedan,Yaşıl,75.0,Benzin,333333,Mexaniki,Ön,Xeyr,6700
Bakı,Hyundai,Grandeur,2009,Sedan,Ağ,192.0,Benzin,165000,Avtomat,Ön,Xeyr,18500
Bakı,Mercedes,C 200,2003,Sedan,Qırmızı,163.0,Benzin,314000,Avtomat,Arxa,Xeyr,11600
Bakı,Mercedes,E 230,1997,Sedan,Bənövşəyi,150.0,Benzin,328000,Avtomat,Arxa,Xeyr,9200
Şirvan,Mercedes,E 240,1998,Sedan,Yaşıl,170.0,Benzin,334000,Avtomat,Arxa,Xeyr,11000
Qəbələ,LADA (VAZ),2106,1991,Sedan,Ağ,75.0,Benzin,160000,Mexaniki,Arxa,Xeyr,4600
Sumqayıt,BMW,535,2002,Sedan,Göy,245.0,Benzin,298712,Avtomat,Arxa,Xeyr,12800
Sumqayıt,Opel,Astra,1999,Universal,Yaşıl,101.0,Benzin,317000,Mexaniki,Ön,Xeyr,9700
Mingəçevir,Chevrolet,Malibu,2016,Sedan,Ağ,163.0,Benzin,66000,Avtomat,Ön,Xeyr,23000
Gəncə,LADA (VAZ),2107,1992,Sedan,Ağ,75.0,Benzin,200000,Mexaniki,Arxa,Xeyr,3800
Ağdam,Hyundai,Santa Fe,2009,Offroader / SUV,Ağ,184.0,Dizel,113526,Avtomat,Ön,Xeyr,23000
Bakı,LADA (VAZ),Priora,2017,Sedan,Boz,106.0,Benzin,121000,Mexaniki,Ön,Xeyr,16500
Bakı,LADA (VAZ),Priora,2017,Sedan,Boz,106.0,Benzin,121000,Mexaniki,Ön,Xeyr,16500
Bakı,Toyota,Sequoia,2010,Offroader / SUV,Qara,381.0,Benzin,111000,Avtomat,Tam,Xeyr,43000
Bakı,Chevrolet,Cruze,2014,Sedan,Qırmızı,141.0,Benzin,110000,Avtomat,Ön,Xeyr,16000
Bakı,Nissan,Maxima,1998,Sedan,Yaşıl,200.0,Benzin,350000,Mexaniki,Ön,Xeyr,6600
Bakı,BMW,750,2011,Sedan,Qara,407.0,Benzin,158900,Avtomat,Arxa,Xeyr,23900
Bakı,Chevrolet,Malibu,2018,Sedan,Ağ,163.0,Benzin,118000,Avtomat,Ön,Xeyr,23800
Bakı,Mercedes,C 180,1999,Sedan,Yaş Asfalt,122.0,Qaz,524000,Avtomat,Arxa,Xeyr,8600
Bakı,Toyota,Prado,2006,Offroader / SUV,Ağ,167.0,Benzin,178000,Avtomat,Tam,Xeyr,28200
Bakı,Ford,Transit,2007,Yük maşını,Göy,140.0,Dizel,295000,Mexaniki,Arxa,Xeyr,23500
Bakı,Kia,Cerato,2021,Sedan,Boz,130.0,Benzin,630,Avtomat,Ön,Xeyr,38000
Bakı,Chevrolet,Cruze,2014,Sedan,Yaşıl,141.0,Benzin,123000,Avtomat,Ön,Xeyr,13300
Bakı,BMW,528,2011,Sedan,Qara,245.0,Benzin,179000,Avtomat,Tam,Xeyr,19800
Sumqayıt,Mercedes,E 280,1997,Sedan,Göy,204.0,Benzin,420000,Avtomat,Arxa,Xeyr,7300
Bakı,Hyundai,Matrix,2006,Minivan,Göy,110.0,Dizel,135000,Mexaniki,Ön,Xeyr,5900
Bakı,Hyundai,Santa Fe,2012,Offroader / SUV,Gümüşü,184.0,Benzin,105000,Avtomat,Tam,Xeyr,28600
Quba,Ford,Transit,2002,Yük maşını,Ağ,125.0,Dizel,378000,Mexaniki,Arxa,Xeyr,20500
Bakı,Mercedes,GL 500,2007,Offroader / SUV,Qara,388.0,Benzin,202000,Avtomat,Tam,Xeyr,29500
Bakı,LADA (VAZ),2107,2009,Sedan,Ağ,75.0,Benzin,45000,Mexaniki,Arxa,Xeyr,5500
Bakı,Hyundai,Sonata,1998,Sedan,Ağ,136.0,Benzin,172350,Mexaniki,Ön,Xeyr,3400
Bakı,Mercedes,C 240,1997,Sedan,Yaşıl,170.0,Benzin,345680,Avtomat,Arxa,Xeyr,11200
Sumqayıt,Volkswagen,Passat,2005,Sedan,Boz,211.0,Benzin,295000,Avtomat,Ön,Xeyr,8800
Sumqayıt,BMW,X5,2001,Offroader / SUV,Gümüşü,286.0,Benzin,290000,Avtomat,Tam,Xeyr,9900
Bakı,Volkswagen,Touareg,2008,Offroader / SUV,Ağ,280.0,Benzin,182000,Avtomat,Tam,Xeyr,21800
Sumqayıt,Nissan,X-Trail,2002,Offroader / SUV,Yaş Asfalt,150.0,Benzin,332532,Avtomat,Ön,Xeyr,8700
Sumqayıt,Kia,Ceed,2009,Universal,Gümüşü,109.0,Benzin,165000,Mexaniki,Ön,Xeyr,14600
Bakı,BMW,530,2017,Sedan,Göy,249.0,Benzin,38000,Avtomat,Arxa,Xeyr,41700
Bakı,LADA (VAZ),21011,1986,Sedan,Sarı,65.0,Benzin,9621,Mexaniki,Arxa,Xeyr,20000
Bakı,Kia,Optima,2014,Sedan,Ağ,245.0,Benzin,57000,Avtomat,Ön,Xeyr,27300
Sumqayıt,LADA (VAZ),2115,2001,Sedan,Göy,65.0,Benzin,250550,Mexaniki,Ön,Xeyr,6600
Bakı,Hyundai,Sonata,2018,Sedan,Gümüşü,274.0,Benzin,70148,Avtomat,Ön,Xeyr,21500
Sumqayıt,LADA (VAZ),Niva,2018,Offroader / SUV,Boz,80.0,Benzin,33400,Mexaniki,Tam,Xeyr,15500
Bakı,Ford,Fusion,2019,Sedan,Ağ,181.0,Benzin,38900,Avtomat,Ön,Xeyr,25900
Bakı,Mercedes,E 220,1998,Sedan,Ağ,143.0,Dizel,300000,Avtomat,Arxa,Xeyr,11900
Mingəçevir,Mercedes,E 320,1998,Sedan,Gümüşü,224.0,Benzin,185258,Avtomat,Arxa,Xeyr,11000
Bakı,Mercedes,GL 500,2014,Offroader / SUV,Ağ,435.0,Benzin,121000,Avtomat,Tam,Xeyr,49000
Bakı,Opel,Astra,2007,Universal,Qızılı,90.0,Benzin,190000,Mexaniki,Ön,Xeyr,10900
Bakı,Hyundai,Sonata,2014,Sedan,Göy,274.0,Benzin,98500,Avtomat,Ön,Xeyr,22800
Bakı,Volkswagen,Passat,2004,Sedan,Qara,140.0,Benzin,240000,Avtomat,Ön,Xeyr,8000
Bakı,Chevrolet,Trax,2018,Offroader / SUV,Göy,141.0,Benzin,35000,Avtomat,Tam,Xeyr,23800
Bakı,LADA (VAZ),Niva,2014,Offroader / SUV,Ağ,83.0,Benzin,147600,Mexaniki,Tam,Xeyr,11800
Bakı,Mercedes,E 200,1996,Sedan,Gümüşü,136.0,Benzin,262000,Avtomat,Arxa,Xeyr,9900
Goranboy,GAZ,24-10,1990,Sedan,Ağ,100.0,Benzin,380000,Mexaniki,Arxa,Xeyr,1500
Bakı,Toyota,RAV 4,1998,Offroader / SUV,Qara,135.0,Benzin,300000,Avtomat,Tam,Xeyr,5500
Bərdə,LADA (VAZ),Priora,2013,Sedan,Ağ,96.0,Benzin,252000,Mexaniki,Ön,Xeyr,11800
Bakı,LADA (VAZ),2107,2006,Sedan,Ağ,75.0,Benzin,25776,Mexaniki,Arxa,Xeyr,3950
Bakı,Hyundai,Matrix,2005,Offroader / SUV,Yaş Asfalt,110.0,Dizel,172000,Mexaniki,Ön,Xeyr,10500
Bakı,LADA (VAZ),Granta,2015,Sedan,Ağ,118.0,Benzin,144570,Mexaniki,Ön,Xeyr,14500
Sumqayıt,Mercedes,Viano,2008,Minivan,Qara,204.0,Dizel,241000,Avtomat,Arxa,Xeyr,36000
Bakı,Honda,Accord,2003,Sedan,Gümüşü,190.0,Benzin,215000,Avtomat,Ön,Xeyr,12500
Bakı,Hyundai,Sonata,2011,Sedan,Ağ,178.0,Benzin,132000,Avtomat,Ön,Xeyr,21300
Bakı,Mercedes,E 240,2001,Sedan,Yaş Asfalt,170.0,Benzin,305541,Avtomat,Arxa,Xeyr,15600
Tərtər,GAZ,31029,1995,Pikap,Boz,65.0,Benzin,125866,Mexaniki,Arxa,Xeyr,5800
Bakı,Kia,Rio,2006,Hetçbek / Liftbek,Qara,97.0,Benzin,171000,Mexaniki,Ön,Xeyr,12800
Bakı,LADA (VAZ),Niva,2012,Offroader / SUV,Ağ,80.0,Benzin,153463,Mexaniki,Tam,Xeyr,8900
Naxçıvan,Hyundai,Sonata,2017,Sedan,Ağ,165.0,Benzin,82000,Avtomat,Ön,Xeyr,30500
Bakı,Renault,Megane,2006,Universal,Gümüşü,106.0,Dizel,325000,Mexaniki,Ön,Xeyr,8800
Yevlax,Volkswagen,Golf,1998,Hetçbek / Liftbek,Qara,75.0,Benzin,320000,Mexaniki,Ön,Xeyr,6800
Bakı,Saipa,Tiba,2014,Sedan,Ağ,87.0,Benzin,63000,Mexaniki,Ön,Xeyr,4800
Bakı,Hyundai,Grandeur,2013,Sedan,Qara,180.0,Benzin,150000,Avtomat,Ön,Xeyr,29800
Bakı,Toyota,Land Cruiser,2008,Offroader / SUV,Qara,271.0,Benzin,208000,Avtomat,Tam,Xeyr,29900
Bakı,Mercedes,E 220,2006,Sedan,Qara,170.0,Dizel,241150,Avtomat,Arxa,Xeyr,19500
Bakı,Toyota,Prius,2008,Hetçbek / Liftbek,Yaşıl,76.0,Hibrid,275198,Avtomat,Ön,Xeyr,12900
Bakı,Lexus,GX 460,2011,Offroader / SUV,Ağ,296.0,Benzin,260000,Avtomat,Tam,Xeyr,35800
Sumqayıt,BMW,530,2005,Sedan,Ağ,231.0,Benzin,261700,Avtomat,Arxa,Xeyr,18800
Bakı,Lexus,GS 250,2014,Sedan,Qara,209.0,Benzin,135000,Avtomat,Arxa,Xeyr,26700
Bakı,Lexus,RX 350,2011,Offroader / SUV,Qızılı,275.0,Benzin,63000,Avtomat,Tam,Xeyr,20500
Neftçala,Toyota,Prius,2012,Hetçbek / Liftbek,Ağ,99.0,Benzin,291,Variator,Ön,Xeyr,18400
Bakı,LADA (VAZ),2107,2012,Sedan,Tünd qırmızı,75.0,Benzin,68000,Mexaniki,Arxa,Xeyr,8200
Masallı,GAZ,3110,1999,Sedan,Qara,131.0,Benzin,203000,Mexaniki,Arxa,Xeyr,4000
Neftçala,Toyota,Prius,2012,Hetçbek / Liftbek,Ağ,99.0,Benzin,291,Variator,Ön,Xeyr,18400
Bakı,LADA (VAZ),2107,2012,Sedan,Tünd qırmızı,75.0,Benzin,68000,Mexaniki,Arxa,Xeyr,8200
Masallı,GAZ,3110,1999,Sedan,Qara,131.0,Benzin,203000,Mexaniki,Arxa,Xeyr,4000
Bakı,Hyundai,Sonata,2009,Sedan,Ağ,178.0,Benzin,183000,Avtomat,Ön,Xeyr,17500
Bakı,Mercedes,GLE 43 AMG Coupe ,2017,Offroader / SUV,Yaş Asfalt,390.0,Benzin,41000,Avtomat,Tam,Xeyr,77700
Bakı,JAC,T8,2020,Pikap,Gümüşü,139.0,Dizel,4700,Mexaniki,Tam,Xeyr,35000
Bakı,Chevrolet,Cruze,2013,Sedan,Qara,141.0,Benzin,240000,Avtomat,Ön,Xeyr,13500
Naxçıvan,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,178.0,Benzin,113364,Avtomat,Tam,Xeyr,32700
Bakı,Nissan,Sunny,2007,Sedan,Qızılı,108.0,Benzin,271000,Avtomat,Ön,Xeyr,12600
Bakı,Volkswagen,Golf R,2019,Hetçbek / Liftbek,Ağ,300.0,Benzin,34200,Avtomat,Ön,Xeyr,37400
Bakı,Toyota,Corolla,2006,Hetçbek / Liftbek,Mavi,90.0,Dizel,169000,Mexaniki,Ön,Xeyr,12900
Bakı,Chevrolet,Cruze,2017,Sedan,Qara,153.0,Benzin,44000,Avtomat,Ön,Xeyr,17600
Bakı,Toyota,Prius,2009,Hetçbek / Liftbek,Ağ,99.0,Hibrid,205000,Avtomat,Ön,Xeyr,16600
Bakı,LADA (VAZ),Niva,2015,Offroader / SUV,Ağ,80.0,Benzin,80000,Mexaniki,Tam,Xeyr,12000
Bakı,Mercedes,X 250D,2019,Pikap,Göy,190.0,Dizel,85000,Avtomat,Tam,Xeyr,56500
Gəncə,Lifan,620,2011,Sedan,Ağ,106.0,Benzin,378000,Mexaniki,Ön,Xeyr,6350
Bakı,Chevrolet,Malibu,2016,Sedan,Qırmızı,163.0,Benzin,85000,Avtomat,Ön,Xeyr,23800
Bakı,BMW,530,2019,Sedan,Ağ,249.0,Benzin,41000,Avtomat,Arxa,Xeyr,47000
Bakı,Mercedes,C 220,1994,Sedan,Qızılı,150.0,Benzin,254631,Avtomat,Arxa,Xeyr,7500
Cəlilabad,GAZ,3102,2008,Yük maşını,Ağ,100.0,Benzin,63822,Mexaniki,Arxa,Xeyr,16000
Bakı,LADA (VAZ),Niva,2012,Offroader / SUV,Ağ,80.0,Benzin,160000,Mexaniki,Tam,Xeyr,8900
Sumqayıt,Kia,Rio,2012,Sedan,Ağ,107.0,Benzin,170700,Avtomat,Ön,Xeyr,17500
Bakı,BMW,X1,2013,Offroader / SUV,Qara,245.0,Benzin,142236,Avtomat,Tam,Xeyr,18500
